,precision,recall,f1-score,support
0,0.3299856527977044,0.46,0.3842940685045948,1000.0
1,0.6529126213592233,0.807,0.7218246869409661,1000.0
2,0.27837643678160917,0.775,0.4096194503171247,1000.0
3,0.24058323207776428,0.198,0.21722435545803623,1000.0
4,0.0,0.0,0.0,1000.0
5,0.3085399449035813,0.112,0.16434336023477622,1000.0
6,0.0,0.0,0.0,1000.0
7,0.43135662063363117,0.531,0.47601972209771404,1000.0
8,0.0,0.0,0.0,1000.0
9,0.3047487321346243,0.661,0.4171662985168823,1000.0
accuracy,0.3544,0.3544,0.3544,0.3544
macro avg,0.2546503240688138,0.3544,0.27904919420700947,10000.0
weighted avg,0.2546503240688138,0.3544,0.27904919420700947,10000.0
