,precision,recall,f1-score,support
0,0.36065573770491804,0.088,0.1414790996784566,1000.0
1,0.7099358974358975,0.443,0.5455665024630543,1000.0
2,0.4489795918367347,0.044,0.08014571948998178,1000.0
3,0.10358565737051793,0.026,0.04156674660271782,1000.0
4,0.2063953488372093,0.071,0.1056547619047619,1000.0
5,0.5201388888888889,0.749,0.6139344262295081,1000.0
6,0.27507836990595613,0.351,0.3084358523725835,1000.0
7,0.5435897435897435,0.53,0.5367088607594935,1000.0
8,0.17254901960784313,0.264,0.20869565217391303,1000.0
9,0.2346177750155376,0.755,0.3579895685158843,1000.0
accuracy,0.3321,0.3321,0.3321,0.3321
macro avg,0.3575526030193247,0.33209999999999995,0.2940177190190355,10000.0
weighted avg,0.3575526030193247,0.3321,0.2940177190190355,10000.0
