,precision,recall,f1-score,support
0,0.4754440961337513,0.455,0.46499744506898316,1000.0
1,0.7502383222116301,0.787,0.7681795998047828,1000.0
2,0.4205794205794206,0.421,0.4207896051974013,1000.0
3,0.43176972281449894,0.405,0.4179566563467492,1000.0
4,0.40705128205128205,0.508,0.4519572953736655,1000.0
5,0.7972689075630253,0.759,0.7776639344262295,1000.0
6,0.30818619582664525,0.192,0.2365988909426987,1000.0
7,0.6110645431684828,0.729,0.66484268125855,1000.0
8,0.4005708848715509,0.421,0.4105314480741102,1000.0
9,0.5708502024291497,0.564,0.5674044265593562,1000.0
accuracy,0.5241,0.5241,0.5241,0.5241
macro avg,0.5173023577649438,0.5241,0.5180921983052527,10000.0
weighted avg,0.5173023577649437,0.5241,0.5180921983052527,10000.0
