,precision,recall,f1-score,support
0,0.49221789883268485,0.506,0.49901380670611445,1000.0
1,0.7514231499051234,0.792,0.771178188899708,1000.0
2,0.46474358974358976,0.435,0.44938016528925623,1000.0
3,0.4940079893475366,0.371,0.4237578526556253,1000.0
4,0.44884169884169883,0.465,0.4567779960707269,1000.0
5,0.8518930957683741,0.765,0.8061116965226555,1000.0
6,0.3079019073569482,0.339,0.3227034745359353,1000.0
7,0.6786050895381716,0.72,0.6986899563318778,1000.0
8,0.4528301886792453,0.408,0.42924776433456074,1000.0
9,0.56645056726094,0.699,0.6257833482542524,1000.0
accuracy,0.55,0.55,0.55,0.55
macro avg,0.5508915175274313,0.55,0.5482644249600713,10000.0
weighted avg,0.5508915175274313,0.55,0.5482644249600713,10000.0
