,precision,recall,f1-score,support
0,0.4633911368015414,0.481,0.4720314033366045,1000.0
1,0.7675840978593272,0.753,0.7602221100454315,1000.0
2,0.4263157894736842,0.405,0.4153846153846154,1000.0
3,0.4245754245754246,0.425,0.42478760619690153,1000.0
4,0.4009132420091324,0.439,0.4190930787589499,1000.0
5,0.7855691056910569,0.773,0.7792338709677419,1000.0
6,0.2735632183908046,0.238,0.2545454545454546,1000.0
7,0.6570363466915191,0.705,0.6801736613603473,1000.0
8,0.39278752436647174,0.403,0.39782823297137215,1000.0
9,0.570264765784114,0.56,0.5650857719475277,1000.0
accuracy,0.5182,0.5182,0.5182,0.5182
macro avg,0.5162000651643076,0.5182,0.5168385805514947,10000.0
weighted avg,0.5162000651643077,0.5182,0.5168385805514946,10000.0
