,precision,recall,f1-score,support
0,0.4627862595419847,0.485,0.4736328125,1000.0
1,0.7719836400817995,0.755,0.7633973710819009,1000.0
2,0.3926206244087039,0.415,0.4035002430724356,1000.0
3,0.4006276150627615,0.383,0.3916155419222904,1000.0
4,0.41808510638297874,0.393,0.40515463917525774,1000.0
5,0.8108419838523645,0.703,0.7530798071772897,1000.0
6,0.25555555555555554,0.23,0.24210526315789474,1000.0
7,0.6267482517482518,0.717,0.6688432835820896,1000.0
8,0.3952225841476656,0.364,0.3789692868297761,1000.0
9,0.5264928511354079,0.626,0.5719506624029236,1000.0
accuracy,0.5071,0.5071,0.5071,0.5071
macro avg,0.5060964471917473,0.5071000000000001,0.505224891090186,10000.0
weighted avg,0.5060964471917474,0.5071,0.5052248910901858,10000.0
