,precision,recall,f1-score,support
0,0.2822222222222222,0.635,0.39076923076923076,1000.0
1,0.6576131687242799,0.799,0.7214446952595938,1000.0
2,0.2934322033898305,0.831,0.43371607515657623,1000.0
3,0.29688972667295005,0.315,0.3056768558951965,1000.0
4,0.0847457627118644,0.005,0.009442870632672332,1000.0
5,0.6682769726247987,0.83,0.7404103479036575,1000.0
6,0.15625,0.01,0.018796992481203006,1000.0
7,0.6412742382271468,0.463,0.537746806039489,1000.0
8,0.27586206896551724,0.008,0.01554907677356657,1000.0
9,0.33269961977186313,0.175,0.22935779816513763,1000.0
accuracy,0.4071,0.4071,0.4071,0.4071
macro avg,0.3689265983310473,0.40709999999999996,0.34029107490763233,10000.0
weighted avg,0.36892659833104724,0.4071,0.34029107490763233,10000.0
