,precision,recall,f1-score,support
0,0.3583617747440273,0.105,0.16241299303944315,1000.0
1,0.6353741496598639,0.467,0.538328530259366,1000.0
2,0.5221238938053098,0.059,0.10601976639712488,1000.0
3,0.2,0.058,0.08992248062015504,1000.0
4,0.2184331797235023,0.237,0.22733812949640286,1000.0
5,0.5278396436525612,0.711,0.6058798466126971,1000.0
6,0.2634107285828663,0.329,0.29257447754557575,1000.0
7,0.5715990453460621,0.479,0.5212187159956475,1000.0
8,0.16329704510108864,0.21,0.18372703412073488,1000.0
9,0.25253256150506515,0.698,0.3708820403825718,1000.0
accuracy,0.3353,0.3353,0.3353,0.3353
macro avg,0.37129720221203466,0.33530000000000004,0.3098304014469719,10000.0
weighted avg,0.3712972022120347,0.3353,0.3098304014469719,10000.0
