,precision,recall,f1-score,support
0,0.4757630161579892,0.53,0.5014191106906339,1000.0
1,0.7509328358208955,0.805,0.7770270270270271,1000.0
2,0.42703232125367285,0.436,0.4314695695200396,1000.0
3,0.47235387045813587,0.299,0.36619718309859156,1000.0
4,0.4349775784753363,0.485,0.45862884160756495,1000.0
5,0.728989612842304,0.772,0.7498785818358427,1000.0
6,0.2973273942093541,0.267,0.28134878819810333,1000.0
7,0.6131756756756757,0.726,0.6648351648351648,1000.0
8,0.44175491679273826,0.292,0.3515954244431066,1000.0
9,0.49477071600965405,0.615,0.548372715113687,1000.0
accuracy,0.5227,0.5227,0.5227,0.5227
macro avg,0.5137077937695755,0.5227,0.5130772406369761,10000.0
weighted avg,0.5137077937695755,0.5227,0.5130772406369762,10000.0
