,precision,recall,f1-score,support
0,0.5153374233128835,0.504,0.5096056622851365,1000.0
1,0.8349705304518664,0.85,0.8424182358771062,1000.0
2,0.4392523364485981,0.376,0.4051724137931034,1000.0
3,0.503099173553719,0.487,0.4949186991869919,1000.0
4,0.39761248852157943,0.433,0.4145524174246051,1000.0
5,0.6433637284701115,0.635,0.6391545042778057,1000.0
6,0.2857142857142857,0.312,0.2982791586998088,1000.0
7,0.7176241480038948,0.737,0.7271830291070548,1000.0
8,0.5448275862068965,0.553,0.5488833746898264,1000.0
9,0.7958762886597938,0.772,0.7837563451776649,1000.0
accuracy,0.5659,0.5659,0.5659,0.5659
macro avg,0.5677677989343629,0.5659,0.5663923840519104,10000.0
weighted avg,0.5677677989343629,0.5659,0.5663923840519105,10000.0
