,precision,recall,f1-score,support
0,0.5951690821256038,0.616,0.6054054054054054,1000.0
1,0.6784140969162996,0.924,0.7823878069432685,1000.0
2,0.5005753739930955,0.435,0.4654895666131621,1000.0
3,0.521203830369357,0.381,0.44020797227036396,1000.0
4,0.4198813056379822,0.566,0.48211243611584326,1000.0
5,0.6600719424460432,0.734,0.6950757575757575,1000.0
6,0.3133159268929504,0.12,0.17353579175704992,1000.0
7,0.7293889427740058,0.752,0.7405219103889709,1000.0
8,0.6077630234933605,0.595,0.6013137948458817,1000.0
9,0.7365217391304347,0.847,0.787906976744186,1000.0
accuracy,0.597,0.597,0.597,0.597
macro avg,0.5762305263779133,0.5969999999999999,0.577395741865989,10000.0
weighted avg,0.5762305263779133,0.597,0.577395741865989,10000.0
