,precision,recall,f1-score,support
0,0.6341719077568134,0.605,0.6192425793244626,1000.0
1,0.8884422110552764,0.884,0.8862155388471178,1000.0
2,0.5339412360688957,0.527,0.5304479114242576,1000.0
3,0.6189495365602472,0.601,0.6098427194317606,1000.0
4,0.5368098159509203,0.525,0.5308392315470172,1000.0
5,0.7609756097560976,0.78,0.7703703703703705,1000.0
6,0.40165631469979296,0.388,0.3947100712105798,1000.0
7,0.7891221374045801,0.827,0.8076171875,1000.0
8,0.6558441558441559,0.707,0.6804619826756497,1000.0
9,0.8647294589178357,0.863,0.8638638638638638,1000.0
accuracy,0.6707,0.6707,0.6707,0.6707
macro avg,0.6684642384014616,0.6707000000000001,0.6693611456195079,10000.0
weighted avg,0.6684642384014615,0.6707,0.669361145619508,10000.0
