,precision,recall,f1-score,support
0,0.6371398078975453,0.597,0.6164171399070728,1000.0
1,0.8836509528585758,0.881,0.8823234852278418,1000.0
2,0.5073068893528184,0.486,0.4964249233912156,1000.0
3,0.6002132196162047,0.563,0.5810113519091846,1000.0
4,0.5239651416122004,0.481,0.5015641293013555,1000.0
5,0.7225274725274725,0.789,0.7543021032504781,1000.0
6,0.38827098078867545,0.384,0.38612368024132737,1000.0
7,0.7772373540856031,0.799,0.7879684418145958,1000.0
8,0.6261343012704175,0.69,0.6565176022835395,1000.0
9,0.8251681075888568,0.859,0.8417442430181283,1000.0
accuracy,0.6529,0.6529,0.6529,0.6529
macro avg,0.6491614227598369,0.6529,0.650439710034474,10000.0
weighted avg,0.6491614227598369,0.6529,0.6504397100344739,10000.0
