,precision,recall,f1-score,support
0,0.6339581036383682,0.575,0.6030414263240692,1000.0
1,0.8907048008171604,0.872,0.8812531581606872,1000.0
2,0.5298651252408478,0.55,0.5397448478900884,1000.0
3,0.5998089780324737,0.628,0.613580850024426,1000.0
4,0.5348837209302325,0.483,0.5076195480819758,1000.0
5,0.7318908748824082,0.778,0.754241396025206,1000.0
6,0.41069397042093286,0.361,0.3842469398616285,1000.0
7,0.7582720588235294,0.825,0.7902298850574713,1000.0
8,0.633423180592992,0.705,0.6672976810222434,1000.0
9,0.8494404883011191,0.835,0.8421583459404942,1000.0
accuracy,0.6612,0.6612,0.6612,0.6612
macro avg,0.6572941301680064,0.6612,0.6583414078388291,10000.0
weighted avg,0.6572941301680064,0.6612,0.658341407838829,10000.0
