,precision,recall,f1-score,support
0,0.4008236101578586,0.584,0.4753764753764753,1000.0
1,0.858728557013118,0.851,0.8548468106479157,1000.0
2,0.421875,0.459,0.4396551724137931,1000.0
3,0.49086479902557856,0.403,0.442613948380011,1000.0
4,0.38873239436619716,0.276,0.32280701754385965,1000.0
5,0.6347517730496454,0.716,0.6729323308270676,1000.0
6,0.2510822510822511,0.174,0.20555227406969875,1000.0
7,0.7873254564983888,0.733,0.7591921284308648,1000.0
8,0.5470441298917569,0.657,0.5970013630168105,1000.0
9,0.8438775510204082,0.827,0.8353535353535353,1000.0
accuracy,0.568,0.568,0.568,0.568
macro avg,0.5625105522105203,0.568,0.5605331056060031,10000.0
weighted avg,0.5625105522105203,0.568,0.5605331056060031,10000.0
