,precision,recall,f1-score,support
0,0.6322916666666667,0.607,0.6193877551020408,1000.0
1,0.8934010152284264,0.88,0.8866498740554157,1000.0
2,0.5424274973147154,0.505,0.5230450543759709,1000.0
3,0.6269270298047277,0.61,0.6183476938672073,1000.0
4,0.515972894482091,0.533,0.5243482538121004,1000.0
5,0.7502356267672008,0.796,0.772440562833576,1000.0
6,0.41164241164241167,0.396,0.4036697247706422,1000.0
7,0.7949465500485908,0.818,0.8063085263676688,1000.0
8,0.6583793738489871,0.715,0.685522531160115,1000.0
9,0.8755102040816326,0.858,0.8666666666666666,1000.0
accuracy,0.6718,0.6718,0.6718,0.6718
macro avg,0.670173426988545,0.6718,0.6706386643011403,10000.0
weighted avg,0.670173426988545,0.6718,0.6706386643011404,10000.0
