,precision,recall,f1-score,support
0,0.581441263573544,0.589,0.5851962245404869,1000.0
1,0.8610271903323263,0.855,0.8580030105368791,1000.0
2,0.4934210526315789,0.45,0.4707112970711297,1000.0
3,0.5605911330049261,0.569,0.5647642679900744,1000.0
4,0.5077821011673151,0.522,0.5147928994082841,1000.0
5,0.7286282306163022,0.733,0.7308075772681955,1000.0
6,0.3675564681724846,0.358,0.36271529888551163,1000.0
7,0.7458937198067633,0.772,0.7587223587223587,1000.0
8,0.6150832517140059,0.628,0.6214745175655615,1000.0
9,0.8185443668993021,0.821,0.8197703444832751,1000.0
accuracy,0.6297,0.6297,0.6297,0.6297
macro avg,0.6279968777918549,0.6296999999999999,0.6286957796471756,10000.0
weighted avg,0.6279968777918549,0.6297,0.6286957796471756,10000.0
