,precision,recall,f1-score,support
0,0.6120401337792643,0.549,0.5788086452293094,1000.0
1,0.8598984771573605,0.847,0.8534005037783374,1000.0
2,0.40222575516693165,0.506,0.4481842338352524,1000.0
3,0.43961772371850566,0.506,0.4704788470478847,1000.0
4,0.33055555555555555,0.119,0.175,1000.0
5,0.6141533277169334,0.729,0.6666666666666666,1000.0
6,0.2885572139303483,0.29,0.28927680798004984,1000.0
7,0.7993762993762994,0.769,0.7838939857288482,1000.0
8,0.5130505709624796,0.629,0.5651392632524708,1000.0
9,0.8524251805985552,0.826,0.8390045708481463,1000.0
accuracy,0.577,0.577,0.577,0.577
macro avg,0.5711900237962234,0.5769999999999998,0.5669853524366966,10000.0
weighted avg,0.5711900237962233,0.577,0.5669853524366967,10000.0
