,precision,recall,f1-score,support
0,0.588686481303931,0.614,0.6010768477728831,1000.0
1,0.6842496285289748,0.921,0.7851662404092072,1000.0
2,0.5091799265605875,0.416,0.4578976334617501,1000.0
3,0.5216251638269986,0.398,0.4515031196823596,1000.0
4,0.42776203966005666,0.604,0.5008291873963515,1000.0
5,0.6684539767649688,0.748,0.7059933931099576,1000.0
6,0.345821325648415,0.12,0.17817371937639198,1000.0
7,0.7239024390243902,0.742,0.7328395061728394,1000.0
8,0.6194968553459119,0.591,0.6049129989764584,1000.0
9,0.7248722316865417,0.851,0.7828886844526219,1000.0
accuracy,0.6005,0.6005,0.6005,0.6005
macro avg,0.5814050068350777,0.6005,0.580128133081082,10000.0
weighted avg,0.5814050068350776,0.6005,0.5801281330810821,10000.0
