,precision,recall,f1-score,support
0,0.6372045220966084,0.62,0.6284845413076533,1000.0
1,0.8997867803837953,0.844,0.8710010319917441,1000.0
2,0.5712435233160622,0.441,0.4977426636568849,1000.0
3,0.5652985074626866,0.606,0.5849420849420849,1000.0
4,0.48607367475292,0.541,0.5120681495504023,1000.0
5,0.6527777777777778,0.799,0.7185251798561152,1000.0
6,0.4453507340946166,0.273,0.33849969001859886,1000.0
7,0.7830540037243948,0.841,0.8109932497589201,1000.0
8,0.5630522088353414,0.701,0.6244988864142538,1000.0
9,0.8627049180327869,0.842,0.8522267206477733,1000.0
accuracy,0.6508,0.6508,0.6508,0.6508
macro avg,0.6466546650476991,0.6507999999999999,0.6438982198144431,10000.0
weighted avg,0.646654665047699,0.6508,0.6438982198144431,10000.0
