,precision,recall,f1-score,support
0,0.6114769520225776,0.65,0.6301502666020358,1000.0
1,0.9006410256410257,0.843,0.8708677685950413,1000.0
2,0.5269186712485682,0.46,0.49119060331019754,1000.0
3,0.5808550185873605,0.625,0.6021194605009633,1000.0
4,0.4722735674676525,0.511,0.49087415946205576,1000.0
5,0.7322907083716651,0.796,0.7628174413033062,1000.0
6,0.37576499388004897,0.307,0.33791964777105116,1000.0
7,0.7711627906976745,0.829,0.7990361445783133,1000.0
8,0.635386119257087,0.65,0.6426099851705388,1000.0
9,0.8615702479338843,0.834,0.8475609756097561,1000.0
accuracy,0.6505,0.6505,0.6505,0.6505
macro avg,0.6468340095107544,0.6504999999999999,0.647514645290326,10000.0
weighted avg,0.6468340095107543,0.6505,0.647514645290326,10000.0
