,precision,recall,f1-score,support
0,0.6116870876531574,0.649,0.6297913634158175,1000.0
1,0.9027484143763214,0.854,0.8776978417266188,1000.0
2,0.5390625,0.483,0.5094936708860759,1000.0
3,0.5932203389830508,0.63,0.6110572259941803,1000.0
4,0.4722222222222222,0.51,0.4903846153846154,1000.0
5,0.74487895716946,0.8,0.7714561234329799,1000.0
6,0.3740648379052369,0.3,0.3329633740288568,1000.0
7,0.7769447047797563,0.829,0.8021286889211416,1000.0
8,0.6311713455953534,0.652,0.6414166256763403,1000.0
9,0.8580183861082737,0.84,0.8489135927235978,1000.0
accuracy,0.6547,0.6547,0.6547,0.6547
macro avg,0.6504018794792832,0.6547,0.6515303122190226,10000.0
weighted avg,0.6504018794792832,0.6547,0.6515303122190224,10000.0
