,precision,recall,f1-score,support
0,0.6169811320754717,0.654,0.6349514563106795,1000.0
1,0.9088050314465409,0.867,0.8874104401228249,1000.0
2,0.5582191780821918,0.489,0.5213219616204691,1000.0
3,0.6024551463644948,0.638,0.6197183098591549,1000.0
4,0.5044883303411131,0.562,0.5316934720908231,1000.0
5,0.7544022242817423,0.814,0.783068783068783,1000.0
6,0.4010416666666667,0.308,0.3484162895927602,1000.0
7,0.7883895131086143,0.842,0.8143133462282398,1000.0
8,0.6471716203259827,0.675,0.6607929515418502,1000.0
9,0.8723186925434117,0.854,0.8630621526023244,1000.0
accuracy,0.6703,0.6703,0.6703,0.6703
macro avg,0.665427253523623,0.6702999999999999,0.666474916303791,10000.0
weighted avg,0.6654272535236231,0.6703,0.6664749163037909,10000.0
