,precision,recall,f1-score,support
0,0.6242937853107344,0.663,0.6430649854510184,1000.0
1,0.9121338912133892,0.872,0.8916155419222904,1000.0
2,0.5675057208237986,0.496,0.5293489861259338,1000.0
3,0.6227141482194418,0.647,0.6346248160863169,1000.0
4,0.5106761565836299,0.574,0.5404896421845574,1000.0
5,0.7654784240150094,0.816,0.7899322362052275,1000.0
6,0.42193548387096774,0.327,0.36845070422535214,1000.0
7,0.7895716945996276,0.848,0.8177434908389586,1000.0
8,0.6508987701040682,0.688,0.6689353427321342,1000.0
9,0.8797533401849948,0.856,0.8677141409021795,1000.0
accuracy,0.6787,0.6787,0.6787,0.6787
macro avg,0.6744961414925662,0.6787,0.6751919886673969,10000.0
weighted avg,0.6744961414925661,0.6787,0.6751919886673969,10000.0
