,precision,recall,f1-score,support
0,0.0,0.0,0.0,12.0
1,0.0,0.0,0.0,14.0
2,0.25,0.1,0.14285714285714288,10.0
3,0.0,0.0,0.0,10.0
4,0.0,0.0,0.0,24.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,10.0
7,0.1511627906976744,0.15294117647058825,0.15204678362573099,85.0
8,0.0,0.0,0.0,8.0
9,0.12903225806451613,0.08163265306122448,0.1,49.0
10,0.0,0.0,0.0,12.0
11,0.20809248554913296,0.23684210526315788,0.22153846153846157,152.0
12,0.06451612903225806,0.05128205128205128,0.05714285714285715,39.0
13,0.125,0.09523809523809523,0.1081081081081081,21.0
14,0.0,0.0,0.0,5.0
15,0.125,0.06666666666666667,0.08695652173913045,15.0
16,0.030303030303030304,0.045454545454545456,0.03636363636363636,22.0
17,0.0,0.0,0.0,5.0
18,0.0,0.0,0.0,12.0
19,0.0,0.0,0.0,16.0
20,0.0,0.0,0.0,19.0
21,0.0,0.0,0.0,6.0
22,0.0,0.0,0.0,15.0
23,0.0,0.0,0.0,13.0
24,0.0,0.0,0.0,11.0
25,0.0,0.0,0.0,24.0
26,0.0,0.0,0.0,6.0
27,0.058823529411764705,0.09090909090909091,0.07142857142857142,11.0
28,0.0,0.0,0.0,9.0
29,0.0,0.0,0.0,10.0
30,0.0,0.0,0.0,13.0
31,0.0,0.0,0.0,3.0
32,0.0,0.0,0.0,9.0
33,0.0,0.0,0.0,13.0
34,0.0,0.0,0.0,4.0
35,0.1,0.06666666666666667,0.08,15.0
36,0.0,0.0,0.0,8.0
37,0.0,0.0,0.0,7.0
38,0.0,0.0,0.0,12.0
39,0.1,0.11627906976744186,0.1075268817204301,43.0
40,0.0,0.0,0.0,14.0
41,0.16666666666666666,0.1,0.125,20.0
accuracy,0.08487084870848709,0.08487084870848709,0.08487084870848709,0.08487084870848709
macro avg,0.03591897356488199,0.028664574304274493,0.03068973725057307,813.0
weighted avg,0.0870414065359401,0.08487084870848709,0.08442675758330401,813.0
