,precision,recall,f1-score,support
0,0.0,0.0,0.0,12.0
1,0.0,0.0,0.0,14.0
2,0.0,0.0,0.0,10.0
3,0.0,0.0,0.0,10.0
4,0.0,0.0,0.0,24.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,10.0
7,0.23076923076923078,0.03529411764705882,0.06122448979591837,85.0
8,0.0,0.0,0.0,8.0
9,0.0,0.0,0.0,49.0
10,0.0,0.0,0.0,12.0
11,0.18925831202046037,0.9736842105263158,0.3169164882226981,152.0
12,0.0,0.0,0.0,39.0
13,0.0,0.0,0.0,21.0
14,0.0,0.0,0.0,5.0
15,0.0,0.0,0.0,15.0
16,0.0,0.0,0.0,22.0
17,0.0,0.0,0.0,5.0
18,0.0,0.0,0.0,12.0
19,0.0,0.0,0.0,16.0
20,0.0,0.0,0.0,19.0
21,0.0,0.0,0.0,6.0
22,0.0,0.0,0.0,15.0
23,0.0,0.0,0.0,13.0
24,0.0,0.0,0.0,11.0
25,0.0,0.0,0.0,24.0
26,0.0,0.0,0.0,6.0
27,0.0,0.0,0.0,11.0
28,0.0,0.0,0.0,9.0
29,0.0,0.0,0.0,10.0
30,0.0,0.0,0.0,13.0
31,0.0,0.0,0.0,3.0
32,0.0,0.0,0.0,9.0
33,0.0,0.0,0.0,13.0
34,0.0,0.0,0.0,4.0
35,0.0,0.0,0.0,15.0
36,0.0,0.0,0.0,8.0
37,0.0,0.0,0.0,7.0
38,0.0,0.0,0.0,12.0
39,0.0,0.0,0.0,43.0
40,0.0,0.0,0.0,14.0
41,0.0,0.0,0.0,20.0
accuracy,0.1857318573185732,0.1857318573185732,0.1857318573185732,0.1857318573185732
macro avg,0.010000655780706932,0.02402329352793749,0.009003356619490869,813.0
weighted avg,0.0595112522047904,0.1857318573185732,0.0656523835701146,813.0
