,precision,recall,f1-score,support
0,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
1,0.0,0.0,0.0,14.0
2,0.0,0.0,0.0,10.0
3,0.0,0.0,0.0,10.0
4,0.20689655172413793,0.25,0.22641509433962265,24.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,10.0
7,0.17307692307692307,0.21176470588235294,0.1904761904761905,85.0
8,0.0,0.0,0.0,8.0
9,0.10909090909090909,0.12244897959183673,0.11538461538461538,49.0
10,0.0,0.0,0.0,12.0
11,0.241635687732342,0.4276315789473684,0.3087885985748219,152.0
12,0.03389830508474576,0.05128205128205128,0.04081632653061224,39.0
13,0.0,0.0,0.0,21.0
14,0.0,0.0,0.0,5.0
15,0.0625,0.06666666666666667,0.06451612903225808,15.0
16,0.0,0.0,0.0,22.0
17,0.0,0.0,0.0,5.0
18,0.0,0.0,0.0,12.0
19,0.3333333333333333,0.25,0.28571428571428575,16.0
20,0.058823529411764705,0.05263157894736842,0.05555555555555555,19.0
21,0.0,0.0,0.0,6.0
22,0.0,0.0,0.0,15.0
23,0.05555555555555555,0.07692307692307693,0.06451612903225808,13.0
24,0.0,0.0,0.0,11.0
25,0.17391304347826086,0.16666666666666666,0.1702127659574468,24.0
26,0.0,0.0,0.0,6.0
27,0.0,0.0,0.0,11.0
28,0.0,0.0,0.0,9.0
29,0.1,0.1,0.10000000000000002,10.0
30,0.0,0.0,0.0,13.0
31,0.0,0.0,0.0,3.0
32,0.0,0.0,0.0,9.0
33,0.0,0.0,0.0,13.0
34,0.0,0.0,0.0,4.0
35,0.0,0.0,0.0,15.0
36,0.0,0.0,0.0,8.0
37,0.0,0.0,0.0,7.0
38,0.0,0.0,0.0,12.0
39,0.0759493670886076,0.13953488372093023,0.09836065573770492,43.0
40,0.0,0.0,0.0,14.0
41,0.0,0.0,0.0,20.0
accuracy,0.14268142681426815,0.14268142681426815,0.14268142681426815,0.14268142681426815
macro avg,0.046619203307378884,0.04759246480861075,0.04414499237306441,813.0
weighted avg,0.10285806534398631,0.14268142681426815,0.1158106256409932,813.0
