,precision,recall,f1-score,support
0,0.0,0.0,0.0,12.0
1,0.0,0.0,0.0,14.0
2,0.0,0.0,0.0,10.0
3,0.0,0.0,0.0,10.0
4,0.14285714285714285,0.16666666666666666,0.15384615384615383,24.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,10.0
7,0.17142857142857143,0.21176470588235294,0.18947368421052632,85.0
8,0.0,0.0,0.0,8.0
9,0.05263157894736842,0.04081632653061224,0.04597701149425287,49.0
10,0.0,0.0,0.0,12.0
11,0.22429906542056074,0.47368421052631576,0.3044397463002114,152.0
12,0.07142857142857142,0.07692307692307693,0.07407407407407408,39.0
13,0.0,0.0,0.0,21.0
14,0.0,0.0,0.0,5.0
15,0.14285714285714285,0.06666666666666667,0.09090909090909091,15.0
16,0.04,0.045454545454545456,0.0425531914893617,22.0
17,0.0,0.0,0.0,5.0
18,0.0,0.0,0.0,12.0
19,0.1111111111111111,0.0625,0.08,16.0
20,0.1,0.10526315789473684,0.10256410256410256,19.0
21,0.0,0.0,0.0,6.0
22,0.0,0.0,0.0,15.0
23,0.0,0.0,0.0,13.0
24,0.0,0.0,0.0,11.0
25,0.1,0.041666666666666664,0.058823529411764705,24.0
26,0.0,0.0,0.0,6.0
27,0.125,0.09090909090909091,0.10526315789473685,11.0
28,0.0,0.0,0.0,9.0
29,0.06666666666666667,0.1,0.08,10.0
30,0.0,0.0,0.0,13.0
31,0.0,0.0,0.0,3.0
32,0.0,0.0,0.0,9.0
33,0.0,0.0,0.0,13.0
34,0.0,0.0,0.0,4.0
35,0.2222222222222222,0.26666666666666666,0.2424242424242424,15.0
36,0.0,0.0,0.0,8.0
37,0.0,0.0,0.0,7.0
38,0.0,0.0,0.0,12.0
39,0.04918032786885246,0.06976744186046512,0.05769230769230769,43.0
40,0.0,0.0,0.0,14.0
41,0.0,0.0,0.0,20.0
accuracy,0.14022140221402213,0.14022140221402213,0.14022140221402213,0.14022140221402213
macro avg,0.03856386668590977,0.04330355292018721,0.0387628641026387,813.0
weighted avg,0.0910805764047431,0.14022140221402213,0.1060633352705036,813.0
