,precision,recall,f1-score,support
0,0.0,0.0,0.0,12.0
1,0.0,0.0,0.0,14.0
2,0.0,0.0,0.0,10.0
3,0.05555555555555555,0.1,0.07142857142857142,10.0
4,0.0,0.0,0.0,24.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,10.0
7,0.11428571428571428,0.09411764705882353,0.10322580645161292,85.0
8,0.07142857142857142,0.125,0.09090909090909091,8.0
9,0.0,0.0,0.0,49.0
10,0.0,0.0,0.0,12.0
11,0.26744186046511625,0.3026315789473684,0.2839506172839506,152.0
12,0.16666666666666666,0.1282051282051282,0.14492753623188406,39.0
13,0.2,0.09523809523809523,0.12903225806451613,21.0
14,0.0,0.0,0.0,5.0
15,0.047619047619047616,0.06666666666666667,0.05555555555555555,15.0
16,0.0625,0.045454545454545456,0.052631578947368425,22.0
17,0.0,0.0,0.0,5.0
18,0.25,0.08333333333333333,0.125,12.0
19,0.09090909090909091,0.0625,0.07407407407407407,16.0
20,0.0,0.0,0.0,19.0
21,0.0,0.0,0.0,6.0
22,0.0,0.0,0.0,15.0
23,0.0,0.0,0.0,13.0
24,0.0,0.0,0.0,11.0
25,0.05555555555555555,0.041666666666666664,0.04761904761904762,24.0
26,0.0,0.0,0.0,6.0
27,0.0,0.0,0.0,11.0
28,0.0,0.0,0.0,9.0
29,0.0,0.0,0.0,10.0
30,0.0,0.0,0.0,13.0
31,0.0,0.0,0.0,3.0
32,0.14285714285714285,0.1111111111111111,0.125,9.0
33,0.0,0.0,0.0,13.0
34,0.0,0.0,0.0,4.0
35,0.0,0.0,0.0,15.0
36,0.0,0.0,0.0,8.0
37,0.0,0.0,0.0,7.0
38,0.0,0.0,0.0,12.0
39,0.0196078431372549,0.023255813953488372,0.02127659574468085,43.0
40,0.0,0.0,0.0,14.0
41,0.14285714285714285,0.05,0.07407407407407408,20.0
accuracy,0.08733087330873308,0.08733087330873308,0.08733087330873308,0.08733087330873308
macro avg,0.040173433127068066,0.03164715682464826,0.033302495390105394,813.0
weighted avg,0.09231930077723384,0.08733087330873308,0.08742772773213392,813.0
