,precision,recall,f1-score,support
0,0.0,0.0,0.0,12.0
1,0.0,0.0,0.0,14.0
2,0.0,0.0,0.0,10.0
3,0.0,0.0,0.0,10.0
4,0.07692307692307693,0.08333333333333333,0.08,24.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,10.0
7,0.1414141414141414,0.16470588235294117,0.15217391304347827,85.0
8,0.14285714285714285,0.125,0.13333333333333333,8.0
9,0.07407407407407407,0.04081632653061224,0.05263157894736842,49.0
10,0.0,0.0,0.0,12.0
11,0.26011560693641617,0.29605263157894735,0.27692307692307694,152.0
12,0.043478260869565216,0.05128205128205128,0.047058823529411764,39.0
13,0.0,0.0,0.0,21.0
14,0.1111111111111111,0.2,0.14285714285714285,5.0
15,0.0,0.0,0.0,15.0
16,0.037037037037037035,0.045454545454545456,0.04081632653061224,22.0
17,0.0,0.0,0.0,5.0
18,0.0,0.0,0.0,12.0
19,0.11764705882352941,0.125,0.12121212121212122,16.0
20,0.05,0.05263157894736842,0.05128205128205128,19.0
21,0.0,0.0,0.0,6.0
22,0.0,0.0,0.0,15.0
23,0.08333333333333333,0.07692307692307693,0.08,13.0
24,0.0,0.0,0.0,11.0
25,0.1111111111111111,0.08333333333333333,0.09523809523809525,24.0
26,0.0,0.0,0.0,6.0
27,0.0,0.0,0.0,11.0
28,0.0,0.0,0.0,9.0
29,0.0,0.0,0.0,10.0
30,0.0,0.0,0.0,13.0
31,0.0,0.0,0.0,3.0
32,0.0,0.0,0.0,9.0
33,0.0,0.0,0.0,13.0
34,0.0,0.0,0.0,4.0
35,0.0,0.0,0.0,15.0
36,0.0,0.0,0.0,8.0
37,0.0,0.0,0.0,7.0
38,0.0,0.0,0.0,12.0
39,0.015625,0.023255813953488372,0.018691588785046728,43.0
40,0.0,0.0,0.0,14.0
41,0.08333333333333333,0.05,0.0625,20.0
accuracy,0.09348093480934809,0.09348093480934809,0.09348093480934809,0.09348093480934809
macro avg,0.032096673519615995,0.033756870802135665,0.03225519170670805,813.0
weighted avg,0.08630176143333881,0.09348093480934809,0.08897103181909165,813.0
